DOID:10937 DOID:2510
DOID:10937 DOID:12402
DOID:10937 DOID:12401
DOID:10937 DOID:12400
DOID:10937 DOID:0050587
DOID:10937 DOID:12399
DOID:582 DOID:0060284
DOID:0060611 DOID:0060612
DOID:0060611 DOID:14221
DOID:5207 DOID:2641
DOID:1325 DOID:0050916
DOID:1325 DOID:3904
DOID:1324 DOID:8007
DOID:1324 DOID:4829
DOID:1324 DOID:0050870
DOID:1324 DOID:7389
DOID:1324 DOID:5547
DOID:1324 DOID:3910
DOID:1324 DOID:3905
DOID:1324 DOID:7696
DOID:1324 DOID:3593
DOID:1324 DOID:5764
DOID:1324 DOID:5410
DOID:192 DOID:0050616
DOID:192 DOID:0050617
DOID:192 DOID:2999
DOID:193 DOID:120
DOID:193 DOID:192
DOID:193 DOID:3856
DOID:0050134 DOID:1563
DOID:0050134 DOID:8913
DOID:0050133 DOID:12711
DOID:0050133 DOID:8912
DOID:0050133 DOID:13902
DOID:5842 DOID:7269
DOID:5842 DOID:6706
DOID:5842 DOID:8358
DOID:229 DOID:0060329
DOID:229 DOID:13938
DOID:229 DOID:429
DOID:229 DOID:345
DOID:229 DOID:2273
DOID:229 DOID:0111144
DOID:229 DOID:12735
DOID:229 DOID:2059
DOID:229 DOID:727
DOID:229 DOID:1284
DOID:229 DOID:289
DOID:229 DOID:121
DOID:229 DOID:1962
DOID:229 DOID:4333
DOID:229 DOID:1003
DOID:229 DOID:60002
DOID:229 DOID:14133
DOID:224 DOID:13003
DOID:225 DOID:2926
DOID:225 DOID:9007
DOID:225 DOID:9008
DOID:225 DOID:0050782
DOID:225 DOID:13002
DOID:225 DOID:14796
DOID:225 DOID:11042
DOID:225 DOID:13087
DOID:225 DOID:8544
DOID:225 DOID:0060291
DOID:225 DOID:1166
DOID:225 DOID:0080194
DOID:225 DOID:0060889
DOID:225 DOID:0080191
DOID:225 DOID:6686
DOID:225 DOID:0080040
DOID:225 DOID:0080201
DOID:225 DOID:0080110
DOID:225 DOID:2121
DOID:225 DOID:11577
DOID:225 DOID:14525
DOID:225 DOID:0060352
DOID:225 DOID:0080180
DOID:225 DOID:0080106
DOID:225 DOID:0080105
DOID:225 DOID:3490
DOID:225 DOID:0060590
DOID:225 DOID:0060349
DOID:225 DOID:0060535
DOID:225 DOID:0060347
DOID:225 DOID:0060610
DOID:225 DOID:0060614
DOID:225 DOID:0060340
DOID:225 DOID:2508
DOID:225 DOID:0080138
DOID:225 DOID:0080139
DOID:225 DOID:2581
DOID:225 DOID:0060589
DOID:225 DOID:0090066
DOID:225 DOID:0050881
DOID:225 DOID:0050885
DOID:225 DOID:8461
DOID:225 DOID:9778
DOID:225 DOID:0060469
DOID:225 DOID:2907
DOID:225 DOID:0060289
DOID:225 DOID:0060566
DOID:225 DOID:0060565
DOID:225 DOID:3047
DOID:225 DOID:0060641
DOID:225 DOID:0060647
DOID:225 DOID:0060644
DOID:225 DOID:9250
DOID:225 DOID:0060365
DOID:225 DOID:4837
DOID:225 DOID:11549
DOID:225 DOID:0080351
DOID:225 DOID:0060479
DOID:225 DOID:4624
DOID:225 DOID:0060471
DOID:225 DOID:0060476
DOID:225 DOID:6691
DOID:225 DOID:6692
DOID:225 DOID:0060473
DOID:225 DOID:14283
DOID:225 DOID:0060254
DOID:225 DOID:0060484
DOID:225 DOID:0060485
DOID:225 DOID:0060486
DOID:225 DOID:0060482
DOID:225 DOID:0060483
DOID:225 DOID:4534
DOID:225 DOID:0060488
DOID:225 DOID:3557
DOID:225 DOID:13677
DOID:225 DOID:0080142
DOID:225 DOID:0080140
DOID:225 DOID:4501
DOID:225 DOID:10632
DOID:225 DOID:0060858
DOID:225 DOID:4491
DOID:225 DOID:0060229
DOID:225 DOID:0060558
DOID:225 DOID:0060227
DOID:225 DOID:0060221
DOID:225 DOID:14679
DOID:225 DOID:6677
DOID:225 DOID:4661
DOID:225 DOID:11824
DOID:225 DOID:11612
DOID:225 DOID:6678
DOID:225 DOID:9892
DOID:225 DOID:9375
DOID:225 DOID:14780
DOID:225 DOID:0060339
DOID:225 DOID:0050769
DOID:225 DOID:0060549
DOID:225 DOID:0060239
DOID:225 DOID:0060238
DOID:225 DOID:0060232
DOID:225 DOID:0060231
DOID:222 DOID:14243
DOID:222 DOID:221
DOID:4138 DOID:4137
DOID:4138 DOID:13580
DOID:4138 DOID:0050876
DOID:4138 DOID:9446
DOID:4138 DOID:899
DOID:4138 DOID:4606
DOID:4138 DOID:885
DOID:3672 DOID:3674
DOID:3675 DOID:4773
DOID:3675 DOID:3672
DOID:13359 DOID:14757
DOID:13359 DOID:14720
DOID:12347 DOID:0110339
DOID:12347 DOID:0110336
DOID:12347 DOID:0110337
DOID:12347 DOID:0110334
DOID:12347 DOID:0110335
DOID:12347 DOID:0060438
DOID:12347 DOID:0110351
DOID:12347 DOID:0110350
DOID:12347 DOID:0110349
DOID:12347 DOID:0110348
DOID:12347 DOID:0110347
DOID:12347 DOID:0110346
DOID:12347 DOID:0110345
DOID:12347 DOID:0110344
DOID:12347 DOID:0110343
DOID:12347 DOID:0110342
DOID:12347 DOID:0110341
DOID:12347 DOID:0110340
DOID:12341 DOID:5284
DOID:11608 DOID:12246
DOID:8741 DOID:8941
DOID:2237 DOID:2044
DOID:2237 DOID:12351
DOID:2237 DOID:1884
DOID:2237 DOID:2239
DOID:2234 DOID:3330
DOID:2234 DOID:3331
DOID:2234 DOID:3328
DOID:2234 DOID:3327
DOID:2234 DOID:12382
DOID:2234 DOID:5129
DOID:420 DOID:0111060
DOID:421 DOID:420
DOID:421 DOID:1838
DOID:421 DOID:4535
DOID:422 DOID:3529
DOID:422 DOID:3191
DOID:423 DOID:853
DOID:423 DOID:767
DOID:423 DOID:699
DOID:423 DOID:0080307
DOID:423 DOID:0080089
DOID:423 DOID:0080099
DOID:423 DOID:929
DOID:423 DOID:9884
DOID:423 DOID:431
DOID:423 DOID:633
DOID:423 DOID:0080108
DOID:423 DOID:0080091
DOID:423 DOID:0080090
DOID:423 DOID:422
DOID:423 DOID:14717
DOID:423 DOID:0080100
DOID:769 DOID:4160
DOID:769 DOID:371
DOID:769 DOID:4163
DOID:768 DOID:4653
DOID:768 DOID:4650
DOID:768 DOID:4651
DOID:768 DOID:4656
DOID:768 DOID:4647
DOID:768 DOID:4648
DOID:1964 DOID:1963
DOID:1964 DOID:1970
DOID:1964 DOID:5324
DOID:1964 DOID:1965
